DATE,Unnamed: 0,DATE,DailyAverageStationPressure
1,15.5,2004-01-17 11:14:00.000000000,29.914516129032258
2,46.0,2004-02-16 00:48:39.310344704,30.09857142857143
3,76.5,2004-03-17 11:14:00.000000000,29.95310344827586
4,108.0,2004-04-16 23:12:32.903225856,29.899
5,139.5,2004-05-17 11:14:00.000000000,29.928333333333335
6,171.0,2004-06-16 23:12:32.903225856,29.944615384615382
7,202.5,2004-07-17 11:14:00.000000000,29.899032258064516
8,234.5,2004-08-17 11:14:00.000000000,29.950322580645164
9,266.0,2004-09-16 23:12:32.903225856,30.087666666666667
10,297.5,2004-10-17 11:14:00.000000000,29.933333333333334
11,329.0,2004-11-16 23:12:32.903225856,30.04576923076923
12,360.5,2004-12-17 11:10:37.500000000,29.909666666666666
