DATE,Unnamed: 0,DATE,HourlySeaLevelPressure,DailyAverageStationPressure
1,491.0,2006-01-16 19:01:29.908443520,30.054344262295082,29.830322580645163
2,1480.0,2006-02-14 22:47:46.974874368,30.1500447761194,29.91357142857143
3,2441.5,2006-03-17 01:47:52.952586240,30.07856182795699,29.85
4,3356.0,2006-04-15 22:54:51.675915648,29.943305555555558,29.713666666666665
5,4291.5,2006-05-15 17:38:21.958762880,29.93383064516129,29.70967741935484
6,5203.5,2006-06-16 06:58:23.395784448,29.99848821081831,29.772
7,6079.5,2006-07-16 09:54:04.075723776,30.014134228187917,29.789032258064516
8,6970.5,2006-08-16 20:42:24.366515968,29.970590604026846,29.746774193548386
9,7871.5,2006-09-16 12:25:53.464052224,29.979097222222222,29.752
10,8827.0,2006-10-17 02:22:27.673715968,30.009261744966444,29.781612903225806
11,9814.0,2006-11-16 07:01:32.171253760,30.090458333333334,29.857666666666667
12,10817.0,2006-12-17 08:33:22.829268224,30.212885906040267,29.976451612903226
