DATE,Unnamed: 0,DATE,DailyAverageDryBulbTemperature
1,15.5,2010-01-17 11:14:00.000000000,25.548387096774192
2,46.0,2010-02-15 23:09:20.689655040,30.107142857142858
3,76.5,2010-03-17 11:14:00.000000000,32.483870967741936
4,108.0,2010-04-16 23:12:32.903225856,38.53333333333333
5,139.5,2010-05-17 11:14:00.000000000,48.225806451612904
6,171.0,2010-06-16 23:12:32.903225856,52.733333333333334
7,202.5,2010-07-17 11:14:00.000000000,53.29032258064516
8,234.5,2010-08-17 11:14:00.000000000,53.87096774193548
9,266.0,2010-09-16 23:12:32.903225856,48.166666666666664
10,297.5,2010-10-17 11:14:00.000000000,38.87096774193548
11,329.0,2010-11-16 23:12:32.903225856,32.766666666666666
12,360.5,2010-12-17 11:14:00.000000000,20.516129032258064
