DATE,Unnamed: 0,DATE,DailyAverageDryBulbTemperature,DailyAverageSeaLevelPressure,DailyAverageStationPressure
1,590.0,2013-01-15 20:43:56.900931328,51.354838709677416,30.174838709677417,29.815806451612904
2,1683.0,2013-02-14 10:30:47.223880704,51.07142857142857,30.040357142857143,29.68285714285714
3,2679.5,2013-03-17 09:50:46.700404992,53.774193548387096,30.074666666666666,29.725806451612904
4,3690.5,2013-04-15 21:48:20.251450624,65.46666666666667,30.007,29.654
5,4738.5,2013-05-15 01:53:25.310734336,71.2258064516129,30.008064516129032,29.657096774193548
6,5726.0,2013-06-15 07:12:46.856516864,80.0,29.945333333333334,29.599
7,6714.5,2013-07-17 00:04:11.954887168,80.54838709677419,30.003548387096775,29.658709677419353
8,7699.0,2013-08-16 13:16:48.132596480,82.74193548387096,30.008333333333333,29.65838709677419
9,8605.5,2013-09-17 04:05:25.903083520,80.56666666666666,29.956,29.609666666666666
10,9600.0,2013-10-16 16:22:38.908418048,68.06451612903226,,29.69161290322581
11,10629.5,2013-11-17 06:05:06.687116544,53.766666666666666,30.203666666666667,29.846333333333334
12,11689.0,2013-12-15 16:25:30.499561728,48.03225806451613,30.160645161290322,29.799032258064514
