,DATE,HourlySeaLevelPressure,DailyAverageStationPressure
0,2006-01-01 00:01:00,,
1,2006-01-01 00:53:00,29.8,
2,2006-01-01 01:51:00,,
3,2006-01-01 01:53:00,29.8,
4,2006-01-01 02:09:00,,
5,2006-01-01 02:27:00,,
6,2006-01-01 02:53:00,29.79,
7,2006-01-01 03:53:00,29.78,
8,2006-01-01 04:05:00,,
9,2006-01-01 04:53:00,29.78,
10,2006-01-01 05:12:00,,
11,2006-01-01 05:30:00,,
12,2006-01-01 05:53:00,29.77,
13,2006-01-01 06:53:00,29.78,
14,2006-01-01 07:53:00,29.78,
15,2006-01-01 08:35:00,,
16,2006-01-01 08:53:00,29.78,
17,2006-01-01 09:03:00,,
18,2006-01-01 09:53:00,29.77,
19,2006-01-01 10:02:00,,
20,2006-01-01 10:53:00,29.74,
21,2006-01-01 11:53:00,29.69,
22,2006-01-01 12:07:00,,
23,2006-01-01 12:53:00,29.65,
24,2006-01-01 13:13:00,,
25,2006-01-01 13:53:00,29.62,
26,2006-01-01 14:05:00,,
27,2006-01-01 14:42:00,,
28,2006-01-01 14:53:00,29.61,
29,2006-01-01 15:53:00,29.61,
30,2006-01-01 16:53:00,29.6,
31,2006-01-01 17:53:00,29.59,
32,2006-01-01 18:20:00,,
33,2006-01-01 18:32:00,,
34,2006-01-01 18:53:00,29.58,
35,2006-01-01 19:36:00,,
36,2006-01-01 19:51:00,,
37,2006-01-01 19:53:00,29.6,
38,2006-01-01 20:53:00,29.61,
39,2006-01-01 21:53:00,29.61,
40,2006-01-01 22:53:00,29.6,
41,2006-01-01 23:53:00,29.6,
42,2006-01-01 23:59:00,,29.47
43,2006-01-02 00:53:00,29.6,
44,2006-01-02 01:53:00,29.61,
45,2006-01-02 02:53:00,29.62,
46,2006-01-02 03:53:00,29.62,
47,2006-01-02 04:53:00,29.61,
48,2006-01-02 05:53:00,29.64,
49,2006-01-02 06:53:00,29.67,
50,2006-01-02 07:53:00,29.71,
51,2006-01-02 08:53:00,29.73,
52,2006-01-02 09:53:00,29.75,
53,2006-01-02 10:53:00,29.76,
54,2006-01-02 11:53:00,29.75,
55,2006-01-02 12:53:00,29.75,
56,2006-01-02 13:53:00,29.74,
57,2006-01-02 14:53:00,29.77,
58,2006-01-02 15:53:00,29.8,
59,2006-01-02 16:53:00,29.83,
60,2006-01-02 17:53:00,29.87,
61,2006-01-02 18:53:00,29.9,
62,2006-01-02 19:53:00,29.92,
63,2006-01-02 20:53:00,29.94,
64,2006-01-02 21:53:00,29.96,
65,2006-01-02 22:53:00,29.97,
66,2006-01-02 23:53:00,29.97,
67,2006-01-02 23:59:00,,29.55
68,2006-01-03 00:53:00,29.98,
69,2006-01-03 01:53:00,29.99,
70,2006-01-03 02:53:00,30.0,
71,2006-01-03 03:53:00,30.02,
72,2006-01-03 04:53:00,30.02,
73,2006-01-03 05:53:00,30.05,
74,2006-01-03 06:53:00,30.06,
75,2006-01-03 07:53:00,30.09,
76,2006-01-03 08:53:00,30.09,
77,2006-01-03 09:53:00,30.11,
78,2006-01-03 10:53:00,30.11,
79,2006-01-03 11:53:00,30.07,
80,2006-01-03 12:53:00,30.03,
81,2006-01-03 13:53:00,30.02,
82,2006-01-03 14:53:00,30.0,
83,2006-01-03 15:53:00,29.99,
84,2006-01-03 16:53:00,29.99,
85,2006-01-03 17:53:00,30.0,
86,2006-01-03 18:53:00,30.0,
87,2006-01-03 19:53:00,29.99,
88,2006-01-03 20:53:00,29.98,
89,2006-01-03 21:53:00,29.98,
90,2006-01-03 22:53:00,29.96,
91,2006-01-03 23:53:00,29.96,
92,2006-01-03 23:59:00,,29.79
93,2006-01-04 00:53:00,29.94,
94,2006-01-04 01:53:00,29.93,
95,2006-01-04 02:53:00,29.91,
96,2006-01-04 03:53:00,29.91,
97,2006-01-04 04:53:00,29.9,
98,2006-01-04 05:53:00,29.91,
99,2006-01-04 06:53:00,29.92,
100,2006-01-04 07:53:00,29.94,
101,2006-01-04 08:53:00,29.96,
102,2006-01-04 09:53:00,29.99,
103,2006-01-04 10:53:00,30.0,
104,2006-01-04 11:53:00,29.97,
105,2006-01-04 12:53:00,29.96,
106,2006-01-04 13:53:00,29.96,
107,2006-01-04 14:53:00,29.97,
108,2006-01-04 15:53:00,29.99,
109,2006-01-04 16:53:00,30.0,
110,2006-01-04 17:53:00,30.02,
111,2006-01-04 18:53:00,30.02,
112,2006-01-04 19:53:00,30.04,
113,2006-01-04 20:53:00,30.06,
114,2006-01-04 21:53:00,30.06,
115,2006-01-04 22:53:00,30.07,
116,2006-01-04 23:53:00,30.08,
117,2006-01-04 23:59:00,,29.75
118,2006-01-05 00:53:00,30.09,
119,2006-01-05 01:53:00,30.1,
120,2006-01-05 02:53:00,30.1,
121,2006-01-05 03:53:00,30.11,
122,2006-01-05 04:53:00,30.11,
123,2006-01-05 05:53:00,30.12,
124,2006-01-05 06:53:00,30.11,
125,2006-01-05 07:53:00,30.14,
126,2006-01-05 08:53:00,30.15,
127,2006-01-05 09:53:00,30.16,
128,2006-01-05 10:53:00,30.14,
129,2006-01-05 11:53:00,30.11,
130,2006-01-05 12:53:00,30.08,
131,2006-01-05 13:53:00,30.06,
132,2006-01-05 14:53:00,30.07,
133,2006-01-05 15:53:00,30.08,
134,2006-01-05 16:53:00,30.09,
135,2006-01-05 17:53:00,30.1,
136,2006-01-05 18:53:00,30.11,
137,2006-01-05 19:53:00,30.12,
138,2006-01-05 20:53:00,30.13,
139,2006-01-05 21:53:00,30.14,
140,2006-01-05 22:53:00,30.14,
141,2006-01-05 23:53:00,30.16,
142,2006-01-05 23:59:00,,29.88
143,2006-01-06 00:53:00,30.16,
144,2006-01-06 01:53:00,30.19,
145,2006-01-06 02:53:00,30.19,
146,2006-01-06 03:53:00,30.19,
147,2006-01-06 04:53:00,30.2,
148,2006-01-06 05:53:00,30.22,
149,2006-01-06 06:53:00,30.24,
150,2006-01-06 07:53:00,30.27,
151,2006-01-06 08:53:00,30.32,
152,2006-01-06 09:53:00,30.33,
153,2006-01-06 10:53:00,30.34,
154,2006-01-06 11:53:00,30.31,
155,2006-01-06 12:53:00,30.29,
156,2006-01-06 13:53:00,30.27,
157,2006-01-06 14:53:00,30.25,
158,2006-01-06 15:53:00,30.25,
159,2006-01-06 16:53:00,30.24,
160,2006-01-06 17:53:00,30.24,
161,2006-01-06 18:53:00,30.25,
162,2006-01-06 19:53:00,30.25,
163,2006-01-06 20:53:00,30.22,
164,2006-01-06 21:53:00,30.22,
165,2006-01-06 22:53:00,30.21,
166,2006-01-06 23:53:00,30.17,
167,2006-01-06 23:59:00,,30.01
168,2006-01-07 00:53:00,30.18,
169,2006-01-07 01:53:00,30.17,
170,2006-01-07 02:53:00,30.16,
171,2006-01-07 03:53:00,30.14,
172,2006-01-07 04:53:00,30.14,
173,2006-01-07 05:53:00,30.12,
174,2006-01-07 06:53:00,30.13,
175,2006-01-07 07:53:00,30.13,
176,2006-01-07 08:53:00,30.13,
177,2006-01-07 09:53:00,30.13,
178,2006-01-07 10:53:00,30.09,
179,2006-01-07 11:53:00,30.04,
