,DATE,DailyAverageDryBulbTemperature
0,2010-01-01 23:59:00,18.0
1,2010-01-02 23:59:00,17.0
2,2010-01-03 23:59:00,21.0
3,2010-01-04 23:59:00,26.0
4,2010-01-05 23:59:00,26.0
5,2010-01-06 23:59:00,31.0
6,2010-01-07 23:59:00,33.0
7,2010-01-08 23:59:00,30.0
8,2010-01-09 23:59:00,29.0
9,2010-01-10 23:59:00,27.0
10,2010-01-11 23:59:00,24.0
11,2010-01-12 23:59:00,16.0
12,2010-01-13 23:59:00,17.0
13,2010-01-14 23:59:00,24.0
14,2010-01-15 23:59:00,29.0
15,2010-01-16 23:59:00,30.0
16,2010-01-17 23:59:00,30.0
17,2010-01-18 23:59:00,29.0
18,2010-01-19 23:59:00,27.0
19,2010-01-20 23:59:00,23.0
20,2010-01-21 23:59:00,25.0
21,2010-01-22 23:59:00,30.0
22,2010-01-23 23:59:00,27.0
23,2010-01-24 23:59:00,20.0
24,2010-01-25 23:59:00,20.0
25,2010-01-26 23:59:00,23.0
26,2010-01-27 23:59:00,25.0
27,2010-01-28 23:59:00,28.0
28,2010-01-29 23:59:00,33.0
29,2010-01-30 23:59:00,27.0
30,2010-01-31 23:59:00,27.0
31,2010-01-31 23:59:00,
32,2010-02-01 23:59:00,32.0
33,2010-02-02 23:59:00,27.0
34,2010-02-03 23:59:00,25.0
35,2010-02-04 23:59:00,21.0
36,2010-02-05 23:59:00,20.0
37,2010-02-06 23:59:00,28.0
38,2010-02-07 23:59:00,26.0
39,2010-02-08 23:59:00,27.0
40,2010-02-09 23:59:00,27.0
41,2010-02-10 23:59:00,32.0
42,2010-02-11 23:59:00,33.0
43,2010-02-12 23:59:00,33.0
44,2010-02-13 23:59:00,28.0
45,2010-02-14 23:59:00,34.0
46,2010-02-15 23:59:00,34.0
47,2010-02-16 23:59:00,35.0
48,2010-02-17 23:59:00,36.0
49,2010-02-18 23:59:00,33.0
50,2010-02-19 23:59:00,32.0
51,2010-02-20 23:59:00,35.0
52,2010-02-21 23:59:00,35.0
53,2010-02-22 23:59:00,29.0
54,2010-02-23 23:59:00,29.0
55,2010-02-24 23:59:00,32.0
56,2010-02-25 23:59:00,34.0
57,2010-02-26 23:59:00,30.0
58,2010-02-27 23:59:00,25.0
59,2010-02-28 23:59:00,31.0
60,2010-02-28 23:59:00,
61,2010-03-01 23:59:00,34.0
62,2010-03-02 23:59:00,37.0
63,2010-03-03 23:59:00,35.0
64,2010-03-04 23:59:00,33.0
65,2010-03-05 23:59:00,31.0
66,2010-03-06 23:59:00,33.0
67,2010-03-07 23:59:00,23.0
68,2010-03-08 23:59:00,26.0
69,2010-03-09 23:59:00,27.0
70,2010-03-10 23:59:00,21.0
71,2010-03-11 23:59:00,20.0
72,2010-03-12 23:59:00,23.0
73,2010-03-13 23:59:00,22.0
74,2010-03-14 23:59:00,33.0
75,2010-03-15 23:59:00,37.0
76,2010-03-16 23:59:00,33.0
77,2010-03-17 23:59:00,35.0
78,2010-03-18 23:59:00,35.0
79,2010-03-19 23:59:00,40.0
80,2010-03-20 23:59:00,35.0
81,2010-03-21 23:59:00,36.0
82,2010-03-22 23:59:00,33.0
83,2010-03-23 23:59:00,32.0
84,2010-03-24 23:59:00,35.0
85,2010-03-25 23:59:00,38.0
86,2010-03-26 23:59:00,33.0
87,2010-03-27 23:59:00,33.0
88,2010-03-28 23:59:00,36.0
89,2010-03-29 23:59:00,40.0
90,2010-03-30 23:59:00,40.0
91,2010-03-31 23:59:00,38.0
92,2010-03-31 23:59:00,
93,2010-04-01 23:59:00,38.0
94,2010-04-02 23:59:00,37.0
95,2010-04-03 23:59:00,37.0
96,2010-04-04 23:59:00,35.0
97,2010-04-05 23:59:00,40.0
98,2010-04-06 23:59:00,38.0
99,2010-04-07 23:59:00,34.0
100,2010-04-08 23:59:00,32.0
101,2010-04-09 23:59:00,35.0
102,2010-04-10 23:59:00,33.0
103,2010-04-11 23:59:00,36.0
104,2010-04-12 23:59:00,35.0
105,2010-04-13 23:59:00,37.0
106,2010-04-14 23:59:00,35.0
107,2010-04-15 23:59:00,38.0
108,2010-04-16 23:59:00,35.0
109,2010-04-17 23:59:00,38.0
110,2010-04-18 23:59:00,40.0
111,2010-04-19 23:59:00,40.0
112,2010-04-20 23:59:00,37.0
113,2010-04-21 23:59:00,38.0
114,2010-04-22 23:59:00,38.0
115,2010-04-23 23:59:00,38.0
116,2010-04-24 23:59:00,39.0
117,2010-04-25 23:59:00,45.0
118,2010-04-26 23:59:00,44.0
119,2010-04-27 23:59:00,48.0
120,2010-04-28 23:59:00,48.0
121,2010-04-29 23:59:00,45.0
122,2010-04-30 23:59:00,43.0
123,2010-04-30 23:59:00,
124,2010-05-01 23:59:00,40.0
125,2010-05-02 23:59:00,40.0
126,2010-05-03 23:59:00,48.0
127,2010-05-04 23:59:00,52.0
128,2010-05-05 23:59:00,43.0
129,2010-05-06 23:59:00,45.0
130,2010-05-07 23:59:00,46.0
131,2010-05-08 23:59:00,43.0
132,2010-05-09 23:59:00,47.0
133,2010-05-10 23:59:00,45.0
134,2010-05-11 23:59:00,40.0
135,2010-05-12 23:59:00,43.0
136,2010-05-13 23:59:00,42.0
137,2010-05-14 23:59:00,43.0
138,2010-05-15 23:59:00,44.0
139,2010-05-16 23:59:00,44.0
140,2010-05-17 23:59:00,45.0
141,2010-05-18 23:59:00,49.0
142,2010-05-19 23:59:00,49.0
143,2010-05-20 23:59:00,50.0
144,2010-05-21 23:59:00,48.0
145,2010-05-22 23:59:00,48.0
146,2010-05-23 23:59:00,52.0
147,2010-05-24 23:59:00,46.0
148,2010-05-25 23:59:00,54.0
149,2010-05-26 23:59:00,56.0
150,2010-05-27 23:59:00,58.0
151,2010-05-28 23:59:00,59.0
152,2010-05-29 23:59:00,60.0
153,2010-05-30 23:59:00,58.0
154,2010-05-31 23:59:00,58.0
155,2010-05-31 23:59:00,
156,2010-06-01 23:59:00,53.0
157,2010-06-02 23:59:00,58.0
158,2010-06-03 23:59:00,54.0
159,2010-06-04 23:59:00,52.0
160,2010-06-05 23:59:00,52.0
161,2010-06-06 23:59:00,54.0
162,2010-06-07 23:59:00,54.0
163,2010-06-08 23:59:00,52.0
164,2010-06-09 23:59:00,51.0
165,2010-06-10 23:59:00,52.0
166,2010-06-11 23:59:00,52.0
167,2010-06-12 23:59:00,52.0
168,2010-06-13 23:59:00,52.0
169,2010-06-14 23:59:00,51.0
170,2010-06-15 23:59:00,48.0
171,2010-06-16 23:59:00,48.0
172,2010-06-17 23:59:00,50.0
173,2010-06-18 23:59:00,51.0
174,2010-06-19 23:59:00,50.0
175,2010-06-20 23:59:00,54.0
176,2010-06-21 23:59:00,55.0
177,2010-06-22 23:59:00,55.0
178,2010-06-23 23:59:00,56.0
179,2010-06-24 23:59:00,57.0
180,2010-06-25 23:59:00,55.0
181,2010-06-26 23:59:00,56.0
182,2010-06-27 23:59:00,51.0
183,2010-06-28 23:59:00,51.0
184,2010-06-29 23:59:00,53.0
185,2010-06-30 23:59:00,53.0
186,2010-06-30 23:59:00,
187,2010-07-01 23:59:00,54.0
188,2010-07-02 23:59:00,53.0
189,2010-07-03 23:59:00,53.0
190,2010-07-04 23:59:00,55.0
191,2010-07-05 23:59:00,51.0
192,2010-07-06 23:59:00,52.0
193,2010-07-07 23:59:00,53.0
194,2010-07-08 23:59:00,53.0
195,2010-07-09 23:59:00,57.0
196,2010-07-10 23:59:00,55.0
197,2010-07-11 23:59:00,51.0
