,DATE,DailyAverageDryBulbTemperature,DailyAverageSeaLevelPressure,DailyAverageStationPressure
0,2013-01-01 00:53:00,,,
1,2013-01-01 01:53:00,,,
2,2013-01-01 02:37:00,,,
3,2013-01-01 02:51:00,,,
4,2013-01-01 02:53:00,,,
5,2013-01-01 03:04:00,,,
6,2013-01-01 03:16:00,,,
7,2013-01-01 03:22:00,,,
8,2013-01-01 03:45:00,,,
9,2013-01-01 03:51:00,,,
10,2013-01-01 03:53:00,,,
11,2013-01-01 03:56:00,,,
12,2013-01-01 04:19:00,,,
13,2013-01-01 04:35:00,,,
14,2013-01-01 04:42:00,,,
15,2013-01-01 04:51:00,,,
16,2013-01-01 04:53:00,,,
17,2013-01-01 05:27:00,,,
18,2013-01-01 05:37:00,,,
19,2013-01-01 05:53:00,,,
20,2013-01-01 06:11:00,,,
21,2013-01-01 06:36:00,,,
22,2013-01-01 06:43:00,,,
23,2013-01-01 06:53:00,,,
24,2013-01-01 07:24:00,,,
25,2013-01-01 07:36:00,,,
26,2013-01-01 07:43:00,,,
27,2013-01-01 07:53:00,,,
28,2013-01-01 08:04:00,,,
29,2013-01-01 08:17:00,,,
30,2013-01-01 08:25:00,,,
31,2013-01-01 08:36:00,,,
32,2013-01-01 08:53:00,,,
33,2013-01-01 09:22:00,,,
34,2013-01-01 09:33:00,,,
35,2013-01-01 09:53:00,,,
36,2013-01-01 10:28:00,,,
37,2013-01-01 10:53:00,,,
38,2013-01-01 11:53:00,,,
39,2013-01-01 12:51:00,,,
40,2013-01-01 12:53:00,,,
41,2013-01-01 13:14:00,,,
42,2013-01-01 13:32:00,,,
43,2013-01-01 13:53:00,,,
44,2013-01-01 14:53:00,,,
45,2013-01-01 15:26:00,,,
46,2013-01-01 15:36:00,,,
47,2013-01-01 15:53:00,,,
48,2013-01-01 16:39:00,,,
49,2013-01-01 16:46:00,,,
50,2013-01-01 16:53:00,,,
51,2013-01-01 17:53:00,,,
52,2013-01-01 18:53:00,,,
53,2013-01-01 19:04:00,,,
54,2013-01-01 19:53:00,,,
55,2013-01-01 20:53:00,,,
56,2013-01-01 21:20:00,,,
57,2013-01-01 21:51:00,,,
58,2013-01-01 21:53:00,,,
59,2013-01-01 22:17:00,,,
60,2013-01-01 22:24:00,,,
61,2013-01-01 22:53:00,,,
62,2013-01-01 23:18:00,,,
63,2013-01-01 23:53:00,,,
64,2013-01-01 23:59:00,51.0,30.03,29.68
65,2013-01-02 00:08:00,,,
66,2013-01-02 00:53:00,,,
67,2013-01-02 01:53:00,,,
68,2013-01-02 02:53:00,,,
69,2013-01-02 03:53:00,,,
70,2013-01-02 04:53:00,,,
71,2013-01-02 05:53:00,,,
72,2013-01-02 06:53:00,,,
73,2013-01-02 07:53:00,,,
74,2013-01-02 08:53:00,,,
75,2013-01-02 09:53:00,,,
76,2013-01-02 10:53:00,,,
77,2013-01-02 11:53:00,,,
78,2013-01-02 12:04:00,,,
79,2013-01-02 12:15:00,,,
80,2013-01-02 12:53:00,,,
81,2013-01-02 13:51:00,,,
82,2013-01-02 13:53:00,,,
83,2013-01-02 14:53:00,,,
84,2013-01-02 15:53:00,,,
85,2013-01-02 16:53:00,,,
86,2013-01-02 17:53:00,,,
87,2013-01-02 18:38:00,,,
88,2013-01-02 18:53:00,,,
89,2013-01-02 19:53:00,,,
90,2013-01-02 20:53:00,,,
91,2013-01-02 21:53:00,,,
92,2013-01-02 22:53:00,,,
93,2013-01-02 23:53:00,,,
94,2013-01-02 23:59:00,38.0,30.19,29.85
95,2013-01-03 00:53:00,,,
96,2013-01-03 01:53:00,,,
97,2013-01-03 02:53:00,,,
98,2013-01-03 03:53:00,,,
99,2013-01-03 04:53:00,,,
100,2013-01-03 05:53:00,,,
101,2013-01-03 06:53:00,,,
102,2013-01-03 07:53:00,,,
103,2013-01-03 08:53:00,,,
104,2013-01-03 09:53:00,,,
105,2013-01-03 10:53:00,,,
106,2013-01-03 11:53:00,,,
107,2013-01-03 12:53:00,,,
108,2013-01-03 13:53:00,,,
109,2013-01-03 14:53:00,,,
110,2013-01-03 15:53:00,,,
111,2013-01-03 16:53:00,,,
112,2013-01-03 17:53:00,,,
113,2013-01-03 18:53:00,,,
114,2013-01-03 19:53:00,,,
115,2013-01-03 20:53:00,,,
116,2013-01-03 21:53:00,,,
117,2013-01-03 22:53:00,,,
118,2013-01-03 23:53:00,,,
119,2013-01-03 23:59:00,41.0,30.34,29.99
120,2013-01-04 00:53:00,,,
121,2013-01-04 01:53:00,,,
122,2013-01-04 02:53:00,,,
123,2013-01-04 03:53:00,,,
124,2013-01-04 04:53:00,,,
125,2013-01-04 05:53:00,,,
126,2013-01-04 06:53:00,,,
127,2013-01-04 07:53:00,,,
128,2013-01-04 08:53:00,,,
129,2013-01-04 09:53:00,,,
130,2013-01-04 10:53:00,,,
131,2013-01-04 11:53:00,,,
